date,elo
2016-08-03 16:46:47+00:00,1000
2016-08-04 10:57:09.942131+00:00,984
2016-08-04 14:22:51.426390+00:00,1001
2016-08-04 17:15:20.921834+00:00,984
2016-08-05 10:24:07.661834+00:00,969
2016-08-05 16:09:33.986710+00:00,955
2016-08-08 10:43:47.848763+00:00,943
2016-08-08 14:36:32.398877+00:00,964
2016-08-09 10:30:23.285963+00:00,951
2016-08-09 12:56:35.281098+00:00,971
2016-08-10 10:17:59.440871+00:00,989
2016-08-10 16:51:32.159610+00:00,974
2016-08-11 09:40:49.152552+00:00,960
2016-08-11 14:53:27.725197+00:00,979
2016-08-11 16:49:14.553075+00:00,965
2016-08-12 13:49:26.116404+00:00,952
2016-08-15 10:50:45.596259+00:00,972
2016-08-15 14:21:33.931345+00:00,990
2016-08-15 16:43:41.378282+00:00,1006
2016-08-16 10:13:15.034181+00:00,989
2016-08-16 11:13:52.702919+00:00,1005
